index;name;set;smiles;solvent;T(K);ee;ddG kcal mol-1;ddG calib kcal mol-1;T(C);concentration;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;Ar
0;3;a;FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccccc2)-c2ccccc2)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccccc1)-c1ccccc1;toluene;313.15;-6;-0.074760994;-0.08374761;40;0.185;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;[C:2][c:1]1ccccc1
1;4;a;Cc1cccc(c1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1cccc(C)c1)-c1cccc(C)c1)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1cccc(C)c1)=NS(=O)(=O)C(F)(F)F;toluene;313.15;2;0.024904398;0.027891969;40;0.185;0.0714;0.0;0;0.0;0.0;0.0;0.2;0.0769;0.1666;0.1666;0.5;0.5;0.2;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;[C:2][c:1]1cccc(C)c1
2;5;a;Cc1ccc(cc1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc(C)cc1)-c1ccc(C)cc1)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc(C)cc1)=NS(=O)(=O)C(F)(F)F;toluene;313.15;-11;-0.137452199;-0.153943595;40;0.185;0.0714;0.0;0;0.0;0.0;0.0;0.2;0.0769;0.1666;0.1666;0.0;0.0;0.2;1;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;[C:2][c:1]1ccc(C)cc1
3;6;a;FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2cccc3ccccc23)-c2cccc3ccccc23)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc2ccccc12)-c1cccc2ccccc12;toluene;333.15;55;0.818785851;0.818785851;60;0.05;0.2857;0.3636;1;1.0;0.2857;0.3333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.3333;1;0.2;0.0714;1;1;1;0.5;0.125;1;0.2857;1;0.0;0.0;0.0;0.0;0.0;0.5;0;0.0;0.2;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;[C:2][c:1]1cccc2ccccc12
4;6;b;FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2cccc3ccccc23)-c2cccc3ccccc23)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cccc2ccccc12)-c1cccc2ccccc12;cyclohexane;333.15;59;0.897275335;0.897275335;60;0.05;0.2857;0.3636;1;1.0;0.2857;0.3333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.3333;1;0.2;0.0714;1;1;1;0.5;0.125;1;0.2857;1;0.0;0.0;0.0;0.0;0.0;0.5;0;0.0;0.2;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[C:2][c:1]1cccc2ccccc12
5;7;a;CC(C)c1ccc(cc1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc(cc1)C(C)C)-c1ccc(cc1)C(C)C)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc(cc1)C(C)C)=NS(=O)(=O)C(F)(F)F;toluene;313.15;-48;-0.650908222;-0.729063098;40;0.185;0.2142;0.0;0;0.0;0.0;0.0;0.2;0.2307;0.1666;0.1666;0.0;0.0;0.2;1;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0.125;0.1666;0.1666;0.1666;0.3333;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.1428;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;CC(C)c1cc[c:1]([C:2])cc1
6;8;a;FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc3ccccc3c2)-c2ccc3ccccc3c2)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc2ccccc2c1)-c1ccc2ccccc2c1;toluene;323.15;1;0.025693117;0.028776291;50;0.185;0.2857;0.3636;0;0.5;0.2857;0.3333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.3333;0;0.2;0.0714;0;0;0;0.5;0.125;0;0.2857;0;0.0;0.0;0.0;0.0;0.0;0.5;1;0.25;0.2;0.5;0.5;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;[C:2][c:1]1ccc2ccccc2c1
7;9;a;Cc1ccc(-c2cc3ccccc3c-3c2OP(NP2(Oc4c(cc5ccccc5c4-c4c(O2)c(cc2ccccc42)-c2ccc(C)c4ccccc24)-c2ccc(C)c4ccccc24)=NS(=O)(=O)C(F)(F)F)(Oc2c(cc4ccccc4c-32)-c2ccc(C)c3ccccc23)=NS(=O)(=O)C(F)(F)F)c2ccccc12;toluene;333.15;40;0.560946463;0.628298279;60;0.185;0.3571;0.3636;1;1.0;0.2857;0.3333;0.2;0.0769;0.3333;0.3333;0.0;0.0;0.2;1;0.3333;1;0.2;0.0714;1;1;1;0.5;0.125;1;0.2857;1;0.0;0.0;0.0;0.0;0.0;0.5;0;0.0;0.2;0.0;0.0;0.5;0.5;1;1;0.5;1;0.5;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0;0;0;0;0.5;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.5;0.0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;[C:2][c:1]1ccc(C)c2ccccc12
8;10;a;CC(C)(C)c1cccc(c1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1cccc(c1)C(C)(C)C)-c1cccc(c1)C(C)(C)C)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1cccc(c1)C(C)(C)C)=NS(=O)(=O)C(F)(F)F;toluene;313.15;48;0.650908222;0.729063098;40;0.185;0.2857;0.0;0;0.0;0.0;0.0;0.2;0.3076;0.1666;0.1666;0.5;0.5;0.2;0;0.0;0;0.0;0.0;0;0;0;0.0;0.0;0;0.0;0;0.5;0.5;0.5;0.5;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0.0;0.5;0.5;0.5;0.5;1;0.2857;0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;[C:2][c:1]1cccc(c1)C(C)(C)C
9;11;b;FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc3CCc4cccc2c34)-c2ccc3CCc4cccc2c34)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc2CCc3cccc1c23)-c1ccc2CCc3cccc1c23;cyclohexane;333.15;33;0.453871893;0.453871893;60;0.05;0.4285;0.3636;1;1.0;0.2857;0.3333;0.4;0.2307;0.6666;0.6666;0.0;0.0;0.4;1;0.3333;1;0.2;0.0714;1;1;1;0.5;0.125;1;0.2857;1;0.0;0.0;0.0;0.0;0.0;0.5;0;0.0;0.2;0.0;0.0;1.0;1.0;1;1;1.0;1;1.0;0.0;0.0;0.0;0.0;0;0.0952;1;1;1;1;1;1;1;1.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;1.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[C:2][c:1]1ccc2CCc3cccc1c23
