,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,ID,name,ddg,T,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,ee
0,0,0,0,0,y1,Xphos,1.66,373.15,1.3513,1.3521,1.1246,1.3949,-0.2574,-0.2571,-0.2622,-0.2167,0.002,0.0025,-0.0263,0.0044,0.26,0.2597,0.194,0.2601,-0.1277,-0.1273,-0.1326,-0.1188,0.0315,0.0312,0.0301,0.0392,0.827,0.829,0.7825,0.829,329.3206,328.6108,328.5103,343.411,4.9,4.97,4.32,4.97,7.52,7.5,7.34,7.87,7.66,7.67,7.57,7.71,103.0,103.0,100.0,113.0,337.0,334.0,334.0,361.0,210.0,210.0,204.0,224.0,157.0,157.0,154.0,167.0,97.0,96.0,91.0,207.0,65.0,63.0,59.0,191.0,293.0,296.0,258.0,298.0,205,0.2,0.2,0.23,0.2,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.2421,0.2423,0.0,0.2423,0.2308,0.2308,0.0,0.2339,-0.4025,-0.4022,-0.4167,0.0,0.8003,0.7904,0.0,0.8589,348.5101,345.536,345.4099,389.9024,327.7722,327.6977,323.7597,336.6468,311.6795,312.5988,293.1508,317.2876,558.3365,558.5,556.6,558.5,455.292,455.7,456.5,445.5,0.815443733,0.815935542,0.820158103,0.797672337,-0.0641,-0.0639,-0.0668,-0.0609,0.184556267,0.184064458,0.179841897,0.202327663,0.6446,0.6445,0.659,1.563841508,1.541816646,1.751052315,1.550483621,80.73299235388491
1,1,1,1,1,y2,CPhos,1.73,373.15,0.875,0.876,0.6683,1.0859,-0.2496,-0.2489,-0.2546,-0.2483,0.0053,0.005,0.0037,0.0081,0.25,0.2539,0.252,0.2628,-0.1222,-0.1219,-0.1237,-0.1219,0.0293,0.0293,0.0287,0.0297,0.8371,0.8455,0.7934,0.8455,323.4745,322.7776,313.9278,336.596,4.89,4.97,3.47,5.0,7.69,7.88,7.25,7.97,7.64,7.66,7.62,7.86,102.0,107.0,91.0,113.0,324.0,346.0,288.0,346.0,189.0,191.0,184.0,204.0,149.0,148.0,147.0,154.0,103.0,115.0,84.0,116.0,64.0,61.0,61.0,69.0,243.0,211.0,211.0,307.0,207,0.2,0.2,0.29,0.2,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.2471,0.2481,0.2416,0.2497,0.2378,0.2396,0.2254,0.242,-0.3984,-0.3983,-0.4127,-0.3818,0.8098,0.8037,0.7973,0.863,346.572,348.5025,343.3984,376.0766,319.7252,314.7536,314.7536,331.8064,304.1262,305.0768,271.7086,311.1799,495.0971,495.1,494.6,495.8,392.8388,387.9,403.2,382.7,0.793458091,0.783478085,0.815204205,0.771883824,-0.067,-0.0647,-0.073,-0.0647,0.206541909,0.216521915,0.184795795,0.228116176,0.6455,0.6464,0.6624,1.563847633,1.54091732,2.197617743,1.571025964,82.31511857600469
2,2,2,2,2,y3,SPhos,1.77,373.15,0.8103,0.7583,0.7583,3.3903,-0.2511,-0.2512,-0.2561,-0.2466,0.0135,0.0123,0.0107,0.0171,0.26,0.2635,0.2605,0.2684,-0.1188,-0.1195,-0.1219,-0.1149,0.0267,0.0271,0.0251,0.0278,0.8286,0.8307,0.7643,0.8307,324.9962,325.4229,284.1756,355.0999,4.52,4.38,4.33,4.93,7.24,7.3,6.55,7.3,7.72,7.72,7.7,10.27,99.0,100.0,59.0,108.0,311.0,315.0,200.0,315.0,188.0,189.0,130.0,204.0,148.0,148.0,116.0,157.0,93.0,97.0,71.0,122.0,67.0,66.0,52.0,77.0,252.0,246.0,147.0,387.0,192,0.22,0.23,0.23,0.2,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.1,0.2511,0.2515,0.2411,0.2515,0.2411,0.2424,0.2263,0.2475,-0.3955,-0.3938,-0.4138,-0.3698,0.8235,0.8366,0.779,0.8649,347.5674,345.9341,328.9897,402.4202,327.6798,330.9224,287.4963,357.212,299.7413,299.4122,236.0408,310.5634,457.1732,456.9,456.0,457.8,358.4606,356.5,396.9,349.5,0.784080519,0.780258262,0.870394737,0.763433814,-0.069,-0.0691,-0.0713,-0.0656,0.215919481,0.219741738,0.129605263,0.236566186,0.6466,0.6453,0.6653,1.708851516,1.762365837,1.779608913,2.085387145,83.16564705764428
3,3,3,3,3,y4,RuPhos,1.76,373.15,1.0214,0.9273,0.9035,2.3248,-0.2508,-0.2506,-0.2554,-0.2487,0.0147,0.0141,0.0092,0.0181,0.27,0.2647,0.2605,0.2681,-0.1181,-0.1183,-0.1214,-0.1153,0.0262,0.0264,0.0249,0.0281,0.8274,0.8298,0.7893,0.8373,325.511,325.9327,323.51,337.1419,4.59,4.35,4.34,4.95,8.5,8.78,8.12,8.78,7.72,7.74,7.54,7.75,103.0,107.0,94.0,107.0,335.0,346.0,296.0,366.0,194.0,193.0,176.0,205.0,151.0,153.0,133.0,155.0,85.0,88.0,75.0,97.0,64.0,65.0,59.0,72.0,238.0,234.0,215.0,345.0,203,0.22,0.23,0.23,0.2,0.12,0.11,0.12,0.11,0.13,0.13,0.13,0.13,0.2511,0.2514,0.2442,0.2518,0.2412,0.2422,0.23,0.2433,-0.3956,-0.3937,-0.4098,-0.3928,0.8327,0.8445,0.7865,0.8656,349.9202,348.4175,343.4182,372.474,326.3836,328.4343,320.7152,333.2936,300.2293,300.9463,293.3757,305.6581,528.2082,527.9,527.5,528.8,425.4547,420.7,433.3,421.6,0.805467806,0.796931237,0.821421801,0.797276853,-0.0713,-0.0711,-0.0735,-0.0695,0.194532194,0.203068763,0.178578199,0.202723147,0.6467,0.6451,0.6616,1.683793863,1.780096641,1.737494242,1.564209719,82.95656360246375
4,4,4,4,4,y6,PAd3,-2.16,373.15,1.2056,1.2056,1.2056,1.2056,-0.2468,-0.2468,-0.2468,-0.2468,0.038,0.038,0.038,0.038,0.28,0.2848,0.2848,0.2848,-0.1044,-0.1044,-0.1044,-0.1044,0.0191,0.0191,0.0191,0.0191,0.8388,0.8388,0.8388,0.8388,253.062,253.062,253.062,253.062,5.21,5.21,5.21,5.21,6.88,6.88,6.88,6.88,7.34,7.34,7.34,7.34,67.0,67.0,67.0,67.0,189.0,189.0,189.0,189.0,159.0,159.0,159.0,159.0,141.0,141.0,141.0,141.0,96.0,96.0,96.0,96.0,63.0,63.0,63.0,63.0,252.0,252.0,252.0,252.0,157,0.19,0.19,0.19,0.19,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.2196,0.2197,0.2197,0.2197,0.2196,0.2196,0.2196,0.2196,-0.3691,-0.3691,-0.3691,-0.3691,0.7079,0.7079,0.7079,0.7079,338.4637,338.4637,338.4637,338.4637,210.6127,210.6127,210.6127,210.6127,210.1097,210.1097,210.1097,210.1097,459.2,459.2,459.2,459.2,392.4,392.4,392.4,392.4,0.854529617,0.854529617,0.854529617,0.854529617,-0.071,-0.071,-0.071,-0.071,0.145470383,0.145470383,0.145470383,0.145470383,0.5887,0.5888,0.5888,1.40680079,1.40680079,1.40680079,1.40680079,-89.69620590952015
5,5,5,5,5,y7,PhSPhos,2.58,373.15,1.122,1.1208,1.1204,2.8769,-0.2531,-0.2531,-0.2531,-0.2125,0.0042,0.0042,-0.019,0.0042,0.26,0.2573,0.1936,0.2573,-0.1245,-0.1245,-0.1248,-0.1157,0.0301,0.0301,0.0301,0.0346,0.8413,0.8413,0.8373,0.8413,324.6267,324.6416,302.3648,324.6417,4.32,4.32,4.32,4.61,7.16,7.16,6.83,7.16,7.29,7.29,7.29,9.9,93.0,93.0,55.0,93.0,323.0,323.0,180.0,323.0,166.0,167.0,106.0,167.0,127.0,128.0,94.0,128.0,81.0,81.0,70.0,81.0,50.0,50.0,34.0,50.0,149.0,149.0,109.0,149.0,179,0.23,0.23,0.23,0.22,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.1,0.2633,0.2633,0.0,0.2633,0.2619,0.2619,0.0,0.2619,-0.3975,-0.3975,-0.3975,0.0,0.7847,0.7846,0.0,0.8149,345.6498,345.6566,335.5488,345.6661,330.11,330.133,295.7455,330.1353,298.1204,298.1353,275.8001,298.1525,441.9986,442.0,439.9,442.0,348.9241,348.9,384.9,348.9,0.789423541,0.789366516,0.874971584,0.789366516,-0.0563,-0.0563,-0.0563,-0.0559,0.210576459,0.210633484,0.125028416,0.210633484,0.6608,0.6608,0.6608,1.686976249,1.686660802,1.686660802,2.149697088,94.0186685241861
6,6,6,6,6,y8,PtBu3,-1.09,373.15,1.1727,1.1727,1.1727,1.1727,-0.2548,-0.2548,-0.2548,-0.2548,0.0589,0.0589,0.0589,0.0589,0.31,0.3136,0.3136,0.3136,-0.098,-0.098,-0.098,-0.098,0.0153,0.0153,0.0153,0.0153,0.7854,0.7854,0.7854,0.7854,255.512,255.512,255.512,255.512,4.04,4.04,4.04,4.04,4.87,4.87,4.87,4.87,6.62,6.62,6.62,6.62,66.0,66.0,66.0,66.0,187.0,187.0,187.0,187.0,156.0,156.0,156.0,156.0,138.0,138.0,138.0,138.0,117.0,117.0,117.0,117.0,78.0,78.0,78.0,78.0,433.0,433.0,433.0,433.0,150,0.25,0.25,0.25,0.25,0.21,0.21,0.21,0.21,0.15,0.15,0.15,0.15,0.2066,0.2066,0.2066,0.2066,0.2066,0.2066,0.2066,0.2066,-0.387,-0.387,-0.387,-0.387,0.6896,0.6896,0.6896,0.6896,299.7106,299.7106,299.7106,299.7106,233.5259,233.5259,233.5259,233.5259,233.2996,233.2996,233.2996,233.2996,251.9,251.9,251.9,251.9,186.1,186.1,186.1,186.1,0.738785232,0.738785232,0.738785232,0.738785232,-0.0667,-0.0667,-0.0667,-0.0667,0.261214768,0.261214768,0.261214768,0.261214768,0.5936,0.5936,0.5936,1.640395431,1.640395431,1.640395431,1.640395431,-62.60970027697609
7,7,7,7,7,y9,PoTol3,2.15,373.15,0.5187,0.5143,0.5143,1.5635,-0.2583,-0.2583,-0.2583,-0.2495,0.0004,0.0004,-0.0057,0.0004,0.26,0.2587,0.2464,0.2587,-0.129,-0.129,-0.1307,-0.1263,0.0321,0.0321,0.0321,0.0342,0.8187,0.8187,0.8187,0.836,342.5443,342.7101,305.8453,342.7101,4.47,4.47,4.32,4.47,6.35,6.35,6.35,6.65,6.99,6.98,6.98,7.88,74.0,74.0,60.0,74.0,213.0,213.0,176.0,225.0,141.0,142.0,115.0,142.0,124.0,124.0,104.0,124.0,104.0,105.0,81.0,105.0,68.0,68.0,46.0,68.0,274.0,274.0,124.0,274.0,153,0.22,0.22,0.23,0.22,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.2609,0.2609,0.2522,0.2609,0.2608,0.2609,0.247,0.2609,-0.3977,-0.3978,-0.3978,-0.3637,0.7204,0.7201,0.7201,0.7989,347.65,347.7449,336.0495,347.7449,347.5694,347.6783,286.383,347.6783,332.4136,332.7072,279.3654,332.7072,351.1935,351.2,350.4,351.2,277.3471,277.3,290.6,277.3,0.789727316,0.789578588,0.8293379,0.789578588,-0.044,-0.044,-0.0524,-0.044,0.210272684,0.210421412,0.1706621,0.210421412,0.6586,0.6587,0.6587,1.565026539,1.563028973,1.616038151,1.765079934,89.56361083567576
8,8,8,8,8,y10,PAd2nBu,0.84,373.15,1.2789,1.2903,1.2103,1.3309,-0.2545,-0.2548,-0.2548,-0.2498,0.0426,0.0424,0.0401,0.0435,0.3,0.2972,0.2899,0.2978,-0.106,-0.1062,-0.1065,-0.1045,0.0189,0.019,0.0185,0.0191,0.8384,0.8405,0.8218,0.8429,293.419,290.6992,285.0351,312.4302,4.67,4.64,4.11,4.98,7.15,7.42,6.81,7.42,7.48,7.48,7.46,8.59,64.0,62.0,60.0,76.0,197.0,188.0,188.0,254.0,151.0,149.0,143.0,168.0,135.0,134.0,130.0,147.0,87.0,85.0,80.0,113.0,65.0,65.0,60.0,73.0,238.0,228.0,196.0,319.0,150,0.21,0.22,0.24,0.2,0.14,0.13,0.15,0.13,0.13,0.13,0.13,0.12,0.2339,0.2344,0.2293,0.2353,0.2294,0.2298,0.2224,0.2301,-0.3878,-0.3874,-0.3919,-0.3698,0.7789,0.7854,0.7583,0.7888,345.0717,345.3505,327.0103,368.7081,307.4253,300.0861,287.8115,342.4183,227.7599,226.6609,214.2127,230.5302,391.9647,392.0,391.7,392.2,327.5973,329.6,331.8,316.1,0.835782661,0.840816327,0.847076845,0.805966344,-0.0671,-0.0674,-0.0698,-0.0629,0.164217339,0.159183673,0.152923155,0.194033656,0.6217,0.6218,0.6272,1.601280185,1.612704299,1.815680646,1.724097111,51.27101459252645
9,9,9,9,9,y11,PCy3,1.19,373.15,1.3606,1.367,1.175,1.3803,-0.2577,-0.2577,-0.2607,-0.2515,0.0536,0.0536,0.049,0.0576,0.31,0.3113,0.3025,0.3129,-0.102,-0.1021,-0.1052,-0.0983,0.0167,0.0167,0.0155,0.0178,0.8115,0.8144,0.7606,0.8233,305.7137,303.9873,285.3414,341.306,4.41,4.41,3.87,4.62,6.75,6.77,6.45,6.83,7.66,7.71,7.38,7.82,58.0,58.0,55.0,77.0,185.0,183.0,179.0,225.0,140.0,139.0,136.0,161.0,128.0,127.0,124.0,141.0,79.0,77.0,70.0,79.0,61.0,61.0,55.0,360.0,203.0,197.0,173.0,311.0,139,0.23,0.23,0.26,0.22,0.15,0.15,0.16,0.15,0.13,0.13,0.14,0.13,0.2355,0.2361,0.2283,0.2384,0.2311,0.231,0.2235,0.2361,-0.3972,-0.3963,-0.4113,-0.3741,0.8183,0.8167,0.7971,0.8536,344.0779,340.6443,331.103,387.7448,298.0273,294.3164,260.8538,349.4035,275.0358,277.0012,259.734,301.7434,324.0768,324.1,323.7,324.5,266.0394,266.5,268.4,247.5,0.820914672,0.822277075,0.829162805,0.762711864,-0.0663,-0.0664,-0.07,-0.0622,0.179085328,0.177722925,0.170837195,0.237288136,0.6327,0.6324,0.6497,1.736326974,1.750522063,1.904465669,1.691841593,66.5375966822923
