index;name;ArC;ArA;DDG_measured;temperature (C);ETF_ArC_side_ArA_pi_0_D_Boltz;ETF_ArC_side_ArA_pi_0_E_Boltz;ETF_ArC_side_ArA_pi_0_D_min;ETF_ArC_side_ArA_pi_0_E_min;ETF_ArC_side_ArA_pi_0_D_max;ETF_ArC_side_ArA_pi_0_E_max;ETF_ArA_side_Ph_pi_0_D_Boltz;ETF_ArA_side_Ph_pi_0_E_Boltz;ETF_ArA_side_Ph_pi_0_D_min;ETF_ArA_side_Ph_pi_0_E_min;ETF_ArA_side_Ph_pi_0_D_max;ETF_ArA_side_Ph_pi_0_E_max;S_ArC_pi_ArA_pi_60_D_Boltz;S_ArC_pi_ArA_pi_60_E_Boltz;S_ArC_pi_ArA_pi_60_D_min;S_ArC_pi_ArA_pi_60_E_min;S_ArC_pi_ArA_pi_60_D_max;S_ArC_pi_ArA_pi_60_E_max;ArC_L;ArC_B1;ArC_B5;ArC_Acid_NBO_O;ArC_Pint;ArC_dP;ArC_Pmin;ArC_Pmax;Amine_NBO_Ca;Amine_NBO_Cb;Amine_NBO_Cc;Amine_NBO_N13;Amine_occ_LP_N;Amine_E_LP_N;Amine_occ_p_CC;Amine_E_p_CC;Amine_occ_ps_CC;Amine_E_ps_CC;Amine_B1;Amine_B5;ArA_B1xB5;ArA_Pint;ArA_dP;ArA_Pmin;ArA_Pmax
0;2Nap-Ph;2Nap;Ph;0.47405;25;341.8906794;-2.651579479;291.15;-2.7288;390.4;-2.5715;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;368.47;-3.3862;368.47;-3.3862;368.47;-3.3862;8.58;1.7;4.44;-0.59323;17.36;4.53;10.65;28.94;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
1;345-Me3Ph-Ph;3,4,5-Me3-Ph;Ph;0.36677;25;405.89;-1.7809;405.89;-1.7809;405.89;-1.7809;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;372.47;-2.989;372.47;-2.989;372.47;-2.989;7.49;1.97;4.46;-0.59805;16.38;4.38;10.94;29.11;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
2;35-Me2-4-OMePh-Ph-avg;3,5-Me2-4-OMe-Ph;Ph;0.36677;25;403.26;-1.7626;403.26;-1.7626;403.26;-1.7626;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;377.647603;-2.993098441;369.45;-3.1486;422.61;-2.1402;8.39;1.85;4.46;-0.59766;16.33;4.4;10.08;29.78;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
3;35-Me2Ph-Ph;3,5-Me2-Ph;Ph;0.19124;25;403.4;-1.6747;403.4;-1.6747;403.4;-1.6747;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;378.49;-2.4034;378.49;-2.4034;378.49;-2.4034;6.43;1.89;4.44;-0.59465;15.76;4.13;10.38;28.11;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
4;35-tBu2Ph-Ph;3,5-tBu2-Ph;Ph;0.58929;25;520.0905803;-1.747544339;509.91;-1.8789;539.47;-1.4975;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;448.6;-2.3008;448.6;-2.3008;448.6;-2.3008;7.376666667;3.25;5.706666667;-0.596525;17.04;4.29;11.78;32.15;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
5;4CF3Ph-Ph;4-CF3-Ph;Ph;0.960698174;25;285.0903215;-3.263118054;285.06;-3.2694;285.12;-3.2567;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;382.37;-2.8161;382.37;-2.8161;382.37;-2.8161;7.77;2.18;3.24;-0.5819;16.65;3.79;10.23;27.24;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
6;4MePh-Ph;4-Me-Ph;Ph;0.939452441;25;292.19;-2.391750007;292.19;-2.3919;292.19;-2.3916;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;384.36;-1.9466;384.36;-1.9466;384.36;-1.9466;7.5;1.71;3.24;-0.59573;15.62;3.9;10.32;27.18;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
7;4nPrPh-Ph;4-nPr-Ph;Ph;0.732757121;25;289.6607119;-2.647302689;287.47;-2.849;291.86;-2.4237;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;399.3974948;-2.018893653;380.85;-2.2551;581.23;-0.7685;9.276666667;1.806666667;3.823333333;-0.59597;16.10320915;3.897986005;9.993870809;29.33746207;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
8;4PhPh-Ph;4-Ph-Ph;Ph;0.50201;25;286.4300008;-3.030050004;286.42;-3.0301;286.44;-3.03;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;376.77;-3.1473;376.77;-3.1473;376.77;-3.1473;10.76;2.1;3.24;-0.59354;17.88;4.66;10.7;28.77;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
9;4tBuPh-Ph;4-tBu-Ph;Ph;1.238722285;25;286.5325596;-2.981464706;286.35;-3.0169;286.74;-2.9412;292.7549987;-2.350650004;292.74;-2.3507;292.77;-2.3506;438.11;-1.6339;438.11;-1.6339;438.11;-1.6339;8.64;2.82;3.31;-0.59543;16.39;3.92;10.94;29.34;-0.245381869;-0.156630542;-0.203580204;-0.42854086;1.870104828;-0.350403924;1.920118847;-0.321143829;0.077714952;0.092372454;1.7;3.340629715;5.679070515;15.46;3.61;10.26;26.21
