,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,substrates,catalysts,cat_smiles,sub_smiles,smiles,ddg,T,vC-N,iC-N,vN–N1,iN–N1,vringD,iringD,vN–N2,iN–N2,vC=N,iC=N,vC=C,iC=C,vC-H,iC-H,aryl-ring-stretch,dbiphenyl,dN1,dN2,dN3(onR),L,B1,B5,dihedral,23B1,23B5,23L,3B1,3B5,3L,2B1,2B5,2L,v1ring2,i1ring2,v1ring3,i1ring3,vamide,iamide,v2ring2,i2ring2,v2ring3,i2ring3,v3ring2,i3ring2,v3ring3,i3ring3,vC=O,iC=O,vCHsym,iCHsym,vCHasym,iCHasym,vNH,iNH,NAPT,dN-CH,ee
0,0,0,0,0,Bn,CHPh2,CCCCCCCCc1ccc2c3c(c(-c4cn(C(c5ccccc5)c5ccccc5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(C(c4ccccc4)c4ccccc4)nn2)cc2cc(CCCCCCCC)ccc2c1-3,O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,CCCCCCCCc1ccc2c3c(c(-c4cn(C(c5ccccc5)c5ccccc5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(C(c4ccccc4)c4ccccc4)nn2)cc2cc(CCCCCCCC)ccc2c1-3.O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,0.993566572,298.15,1138.19,0.5,1247.24,10.15,1282.16,74.56,1357.44,45.1,1501.51,35.77,1553.63,16.95,3324.94,6.38,,4.94,7.09,8.74,10.09,6.04,2.08,6.14,,1.92,7.27,8.38,1.72,5.93,5.05,1.7,3.58,6.53,1535.18,75.67,1543.62,9.96,1584.03,328.54,1646.75,2.93,1657.03,1.83,1672.51,44.38,1677.88,5.33,1760.28,331.36,2981.7,28.88,3118.43,2.97,3523.15,199.06,-0.85,3.12,68.49995105770442
1,1,1,1,1,Bn,"2,4,6-Me3Ph",CCCCCCCCc1ccc2c3c(c(-c4cn(-c5c(C)cc(C)cc5C)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4c(C)cc(C)cc4C)nn2)cc2cc(CCCCCCCC)ccc2c1-3,O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5c(C)cc(C)cc5C)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4c(C)cc(C)cc4C)nn2)cc2cc(CCCCCCCC)ccc2c1-3.O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,1.22187559,298.15,1168.29,2.72,1258.88,15.11,1286.31,56.4,1370.23,34.29,1463.71,5.25,1545.63,93.34,3325.18,7.49,1679.86,4.86,8.51,9.96,10.02,7.28,1.99,4.53,104.51,1.92,7.27,8.38,1.72,5.93,5.05,1.7,3.58,6.53,1535.18,75.67,1543.62,9.96,1584.03,328.54,1646.75,2.93,1657.03,1.83,1672.51,44.38,1677.88,5.33,1760.28,331.36,2981.7,28.88,3118.43,2.97,3523.15,199.06,-0.85,3.12,77.43666331125138
2,2,2,2,2,Bn,"2,4,6-iPr3Ph",CCCCCCCCc1ccc2c3c(c(-c4cn(-c5c(C(C)C)cc(C(C)C)cc5C(C)C)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4c(C(C)C)cc(C(C)C)cc4C(C)C)nn2)cc2cc(CCCCCCCC)ccc2c1-3,O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5c(C(C)C)cc(C(C)C)cc5C(C)C)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4c(C(C)C)cc(C(C)C)cc4C(C)C)nn2)cc2cc(CCCCCCCC)ccc2c1-3.O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,1.282772205,298.15,1156.3,0.96,1261.66,17.82,1284.03,25.41,1372.87,36.66,1477.1,10.52,1536.79,93.99,3325.21,7.66,1673.84,4.87,8.55,10.01,10.05,8.53,3.31,5.76,91.77,1.92,7.27,8.38,1.72,5.93,5.05,1.7,3.58,6.53,1535.18,75.67,1543.62,9.96,1584.03,328.54,1646.75,2.93,1657.03,1.83,1672.51,44.38,1677.88,5.33,1760.28,331.36,2981.7,28.88,3118.43,2.97,3523.15,199.06,-0.85,3.12,79.4137090255846
3,3,3,3,3,Bn,"2,4,6-Cy3Ph",CCCCCCCCc1ccc2c3c(c(-c4cn(-c5c(C6CCCCC6)cc(C6CCCCC6)cc5C5CCCCC5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4c(C5CCCCC5)cc(C5CCCCC5)cc4C4CCCCC4)nn2)cc2cc(CCCCCCCC)ccc2c1-3,O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5c(C6CCCCC6)cc(C6CCCCC6)cc5C5CCCCC5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4c(C5CCCCC5)cc(C5CCCCC5)cc4C4CCCCC4)nn2)cc2cc(CCCCCCCC)ccc2c1-3.O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,1.192319762,298.15,1171.99,3.03,1261.23,12.58,1285.51,32.29,1367.5,27.82,1480.23,11.51,1536.01,84.29,3326.74,6.67,1673.07,4.94,7.07,8.67,9.98,10.6,3.31,7.44,97.17,1.92,7.27,8.38,1.72,5.93,5.05,1.7,3.58,6.53,1535.18,75.67,1543.62,9.96,1584.03,328.54,1646.75,2.93,1657.03,1.83,1672.51,44.38,1677.88,5.33,1760.28,331.36,2981.7,28.88,3118.43,2.97,3523.15,199.06,-0.85,3.12,76.41863368649437
4,4,4,4,4,Bn,1-Ad,CCCCCCCCc1ccc2c3c(c(-c4cn(C56CC7CC(CC(C7)C5)C6)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(C45CC6CC(CC(C6)C4)C5)nn2)cc2cc(CCCCCCCC)ccc2c1-3,O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,CCCCCCCCc1ccc2c3c(c(-c4cn(C56CC7CC(CC(C7)C5)C6)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(C45CC6CC(CC(C6)C4)C5)nn2)cc2cc(CCCCCCCC)ccc2c1-3.O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,1.318466423,298.15,1162.4,2.14,1266.95,19.31,1287.55,84.91,1353.58,10.52,1476.82,29.45,1553.38,26.61,3328.87,4.12,,4.93,6.69,8.7,10.83,6.3,3.31,3.68,,1.92,7.27,8.38,1.72,5.93,5.05,1.7,3.58,6.53,1535.18,75.67,1543.62,9.96,1584.03,328.54,1646.75,2.93,1657.03,1.83,1672.51,44.38,1677.88,5.33,1760.28,331.36,2981.7,28.88,3118.43,2.97,3523.15,199.06,-0.85,3.12,80.49995693346813
5,5,5,5,5,Bn,Ph,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5ccccc5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4ccccc4)nn2)cc2cc(CCCCCCCC)ccc2c1-3,O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5ccccc5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4ccccc4)nn2)cc2cc(CCCCCCCC)ccc2c1-3.O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,0.632607682,298.15,1192.74,15.94,1252.34,8.0,1290.8,123.78,1384.59,27.6,1475.13,17.91,1551.39,84.47,3333.69,7.7,1677.89,4.86,8.56,10.01,10.05,6.27,1.77,3.15,149.77,1.92,7.27,8.38,1.72,5.93,5.05,1.7,3.58,6.53,1535.18,75.67,1543.62,9.96,1584.03,328.54,1646.75,2.93,1657.03,1.83,1672.51,44.38,1677.88,5.33,1760.28,331.36,2981.7,28.88,3118.43,2.97,3523.15,199.06,-0.85,3.12,48.83254912871938
6,6,6,6,6,Bn,4-MeOPh,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5ccc(OC)cc5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4ccc(OC)cc4)nn2)cc2cc(CCCCCCCC)ccc2c1-3,O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5ccc(OC)cc5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4ccc(OC)cc4)nn2)cc2cc(CCCCCCCC)ccc2c1-3.O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,0.699652125,298.15,1191.2,45.36,1253.36,18.11,1292.28,216.99,1378.24,21.74,1472.41,0.09,1553.97,95.19,3330.82,7.34,1692.58,4.86,8.55,10.01,10.06,8.51,1.9,3.16,146.84,1.92,7.27,8.38,1.72,5.93,5.05,1.7,3.58,6.53,1535.18,75.67,1543.62,9.96,1584.03,328.54,1646.75,2.93,1657.03,1.83,1672.51,44.38,1677.88,5.33,1760.28,331.36,2981.7,28.88,3118.43,2.97,3523.15,199.06,-0.85,3.12,53.021060831235474
7,7,7,7,7,Bn,4-NEt2Ph,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5ccc(N(CC)CC)cc5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4ccc(N(CC)CC)cc4)nn2)cc2cc(CCCCCCCC)ccc2c1-3,O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5ccc(N(CC)CC)cc5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4ccc(N(CC)CC)cc4)nn2)cc2cc(CCCCCCCC)ccc2c1-3.O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,0.348666657,298.15,1192.87,13.63,1250.35,12.0,1292.77,84.65,1382.15,20.2,1493.99,0.82,1555.69,77.35,3333.04,7.27,1683.29,4.85,8.54,10.0,10.05,9.28,2.3,4.56,149.41,1.92,7.27,8.38,1.72,5.93,5.05,1.7,3.58,6.53,1535.18,75.67,1543.62,9.96,1584.03,328.54,1646.75,2.93,1657.03,1.83,1672.51,44.38,1677.88,5.33,1760.28,331.36,2981.7,28.88,3118.43,2.97,3523.15,199.06,-0.85,3.12,28.603318833134512
8,8,8,8,8,Bn,4-SO2MePh,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5ccc(S(C)(=O)=O)cc5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4ccc(S(C)(=O)=O)cc4)nn2)cc2cc(CCCCCCCC)ccc2c1-3,O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5ccc(S(C)(=O)=O)cc5)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4ccc(S(C)(=O)=O)cc4)nn2)cc2cc(CCCCCCCC)ccc2c1-3.O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,0.611022922,298.15,1191.43,26.89,1246.58,7.65,1286.7,160.72,1391.56,20.0,1491.96,20.11,1553.52,96.82,3334.34,8.84,1672.91,4.86,8.6,10.03,10.03,8.59,2.03,3.59,152.36,1.92,7.27,8.38,1.72,5.93,5.05,1.7,3.58,6.53,1535.18,75.67,1543.62,9.96,1584.03,328.54,1646.75,2.93,1657.03,1.83,1672.51,44.38,1677.88,5.33,1760.28,331.36,2981.7,28.88,3118.43,2.97,3523.15,199.06,-0.85,3.12,47.433080950749556
9,9,9,9,9,Bn,"2,6-MeO2Ph",CCCCCCCCc1ccc2c3c(c(-c4cn(-c5c(OC)cccc5OC)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4c(OC)cccc4OC)nn2)cc2cc(CCCCCCCC)ccc2c1-3,O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,CCCCCCCCc1ccc2c3c(c(-c4cn(-c5c(OC)cccc5OC)nn4)cc2c1)OP(=O)(O)Oc1c(-c2cn(-c4c(OC)cccc4OC)nn2)cc2cc(CCCCCCCC)ccc2c1-3.O=C(NCc1ccccc1)c1ccccc1N1CCc2ccccc2C1,0.879277907,298.15,1176.5,15.49,1239.49,32.12,1263.76,34.81,1344.93,51.29,1463.69,20.62,1530.05,55.02,3335.0,6.81,1662.99,4.85,8.48,9.92,10.0,6.26,2.01,5.5,101.27,1.92,7.27,8.38,1.72,5.93,5.05,1.7,3.58,6.53,1535.18,75.67,1543.62,9.96,1584.03,328.54,1646.75,2.93,1657.03,1.83,1672.51,44.38,1677.88,5.33,1760.28,331.36,2981.7,28.88,3118.43,2.97,3523.15,199.06,-0.85,3.12,63.036688250763106
