index;name;ee;Area-L;Area-N;Area-S;B1-N;B1-R1--L;B1-R1-S;B1-R2-L;B1-R2-S;B1-R3-S;B1-R4-S;B5-N;B5-R1--L;B5-R1-S;B5-R2-L;B5-R2-S;B5-R3-S;B5-R4-S;BA1-2-3-N;BA1-2-4-N;BA1-2-8-L;BA1-5-2-S;BA1-5-6-S;BA2-5-6-S;BA2-8-7-L;BA3-2-4-N;BA3-6-4-S;BA3-6-5-S;BA4-6-5-S;BL1-2-L;BL1-2-N;BL1-5-S;BL1-6-L;BL2-3-N;BL2-4-N;BL2-5-S;BL2-8-L;BL3-6-S;BL4-6-S;BL5-6-S;BL7-11-L;BL7-8-L;DA1-2-8-7-L;DA1-5-6-4-S;DA2-5-6-3-S;DA21-11-7-8-L;DA22-11-7-8-L;DA7-11-10-9-L;Dp-A;Dp-N;Dp-S;HOMO-A;HOMO-L;HOMO-N;HOMO-S;L-N;L-R1--L;L-R1-S;L-R2-L;L-R2-S;L-R3-S;L-R4-S;LUMO-A;LUMO-L;LUMO-N;LUMO-S;M.Wt.-N;NB1-2-S;NB1-3-N;NB1-3-S;NB1-4-N;NB2-4-S;NB3-4-N;NB3-4-S;NMR11-L;NMR2-L;NMR3-N;NMR4-N;NMR4-S;NMR5-S;NMR6-L;NMR6-S;NMR8-L;Ovality-L;Ovality-N;Ovality-S;PSA-A;PSA-L;PSA-N;PSA-S;Rot-PF-L;Rot-PF-N;Rot-PF-S;Rx-A;Rx-L;Rx-N;Rx-S;Ry-A;Ry-L;Ry-N;Ry-S;Rz-A;Rz-L;Rz-N;Rz-S;TranS-PF-N;TranS-PF-S;Trans-PF-L;VF(N-C)ox-L;VF5-6-S;VI(N-C)ox-L;VI5-6-S;Vib-PF-L;Vib-PF-N;Vib-PF-S;Volume-L;Volume-N;Volume-S;area-A;dp-L;ovality-A;q1-L;q1-N;q11-L;q2-L;q2-N;q3-N;q4-N;q4-S;q5-S;q6-L;q6-S;q7-L;q8-L;rot-PF-A;trans-PF-A;vibr-PF-A;volume-A
0;real0;91;361.5;168.12;193.61;1.8;1;1;1.7;1;1.7;1.504;3.149;1;1;3.151;1;3.157;3.275;120.9633334;120.9628307;116.2565149;116.3214871;121.3959825;122.2760622;126.570416;118.0738359;116.5427351;120.7446801;122.7125154;1.339178194;1.571485088;1.085911837;1.328222238;1.400533582;1.400537834;1.085236558;1.482876059;1.491297247;1.511103656;1.337966689;1.469962482;1.26899773;4.738410346;177.7241777;178.7828065;101.1837851;138.8012525;18.36736317;3.2207;5.8768;1.7023;-0.39041;-0.28923;-0.29654;-0.27605;7.811;2;2;6.353;2;6.371;4.745;-0.013;-0.03216;0.00688;0.01205;156.376;1.844458873;2.58761616;2.689864302;2.58761339;2.757037113;2.401915888;2.553708553;116.5994;33.2137;47.3923;47.3926;160.9221;73.1084;34.3838;35.9798;23.6482;1.5;1.25;1.28;92.648;21.171;37.436;20.112;16.611245;13.736565;13.860476;0.78283;0.43034;3.65774;2.71406;0.17747;0.08372;0.52514;0.54237;0.16116;0.07797;0.45922;0.4677;18.154052;18.075842;19.441712;1780.348;1738.7;217.8748;27.7501;56.985201;37.46581;38.563601;350.86;146.26;174.56;226.89;4.8547;1.49;-0.44972;1.18512;-0.1172;0.14578;-0.42352;-0.2037;-0.2037;-0.52502;-0.45685;0.04902;-0.03202;-0.51163;0.57132;15.573398;19.41175;51.150329;177.28
1;real1;93;361.5;168.12;223.23;1.8;1;1;1.7;1;1.77;1.504;3.149;1;1;3.151;1;3.171;3.276;120.9633334;120.9628307;116.2565149;116.3751105;121.3432791;122.274884;126.570416;118.0738359;116.3166171;121.0613326;122.6218785;1.339178194;1.571485088;1.085994391;1.328222238;1.400533582;1.400537834;1.085187372;1.482876059;1.48929995;1.511402398;1.338351467;1.469962482;1.26899773;4.738410346;177.2674857;178.0889885;101.1837851;138.8012525;18.36736317;3.2207;5.8768;2.9789;-0.39041;-0.28923;-0.29654;-0.25822;7.811;2;2;6.353;2;8.441;4.745;-0.013;-0.03216;0.00688;0.01919;156.376;1.845023017;2.58761616;2.694818499;2.58761339;2.755827327;2.401915888;2.549150401;116.5994;33.2137;47.3923;47.3926;160.5759;75.7579;34.3838;36.5606;23.6482;1.5;1.25;1.34;92.648;21.171;37.436;27.113;16.611245;13.736565;14.444545;0.78283;0.43034;3.65774;2.44056;0.17747;0.08372;0.52514;0.31006;0.16116;0.07797;0.45922;0.2829;18.154052;18.352637;19.441712;1780.348;1738.84;217.8748;41.9531;56.985201;37.46581;42.088318;350.86;146.26;201.53;226.89;4.8547;1.49;-0.44972;1.18512;-0.1172;0.14578;-0.42352;-0.2037;-0.2037;-0.52536;-0.46667;0.04902;-0.02817;-0.51163;0.57132;15.573398;19.41175;51.150329;177.28
2;real2;83;361.5;168.12;209.2;1.8;1;1;1.7;1;1.763;1.504;3.149;1;1;3.151;1;3.156;3.273;120.9633334;120.9628307;116.2565149;116.32925;121.4699849;122.1934035;126.570416;118.0738359;116.4931629;120.6583998;122.8482092;1.339178194;1.571485088;1.085884893;1.328222238;1.400533582;1.400537834;1.085167506;1.482876059;1.490394908;1.510829866;1.337734113;1.469962482;1.26899773;4.738410346;177.6674805;178.8708753;101.1837851;138.8012525;18.36736317;3.2207;5.8768;4.0841;-0.39041;-0.28923;-0.29654;-0.27589;7.811;2;2;6.353;2;7.815;4.745;-0.013;-0.03216;0.00688;0.00458;156.376;1.84445491;2.58761616;2.688577584;2.58761339;2.757915704;2.401915888;2.55202659;116.5994;33.2137;47.3923;47.3926;160.9873;72.134;34.3838;37.3682;23.6482;1.5;1.25;1.32;92.648;21.171;37.436;20.108;16.611245;13.736565;14.457839;0.78283;0.43034;3.65774;2.46685;0.17747;0.08372;0.52514;0.30493;0.16116;0.07797;0.45922;0.27713;18.154052;18.385545;19.441712;1780.348;1739.79;217.8748;27.4873;56.985201;37.46581;40.836727;350.86;146.26;188.16;226.89;4.8547;1.49;-0.44972;1.18512;-0.1172;0.14578;-0.42352;-0.2037;-0.2037;-0.52562;-0.45098;0.04902;-0.03396;-0.51163;0.57132;15.573398;19.41175;51.150329;177.28
3;real3;80;361.5;168.12;199.27;1.8;1;1;1.7;1;1.705;1.879;3.149;1;1;3.151;1;3.152;4.021;120.9633334;120.9628307;116.2565149;116.3211624;121.4298928;122.2430098;126.570416;118.0738359;116.4943032;120.7657374;122.7398945;1.339178194;1.571485088;1.085918073;1.328222238;1.400533582;1.400537834;1.08516462;1.482876059;1.490837163;1.510996919;1.337895097;1.469962482;1.26899773;4.738410346;177.620001;178.6350425;101.1837851;138.8012525;18.36736317;3.2207;5.8768;3.2485;-0.39041;-0.28923;-0.29654;-0.27347;7.811;2;2;6.353;2;6.948;4.745;-0.013;-0.03216;0.00688;0.01435;156.376;1.84439982;2.58761616;2.690560068;2.58761339;2.756877472;2.401915888;2.552559807;116.5994;33.2137;47.3923;47.3926;160.9289;73.4402;34.3838;37.0099;23.6482;1.5;1.25;1.3;92.648;21.171;37.436;20.11;16.611245;13.736565;14.19575;0.78283;0.43034;3.65774;2.55788;0.17747;0.08372;0.52514;0.39342;0.16116;0.07797;0.45922;0.34988;18.154052;18.247823;19.441712;1780.348;1739.67;217.8748;35.7474;56.985201;37.46581;39.80383;350.86;146.26;179.11;226.89;4.8547;1.49;-0.44972;1.18512;-0.1172;0.14578;-0.42352;-0.2037;-0.2037;-0.52526;-0.45776;0.04902;-0.03119;-0.51163;0.57132;15.573398;19.41175;51.150329;177.28
4;real4;87;361.5;168.12;246.07;1.8;1;1;1.7;1;1.813;1.504;3.149;1;1;3.151;1;3.219;3.273;120.9633334;120.9628307;116.2565149;116.3099897;121.6504727;122.0292848;126.570416;118.0738359;116.5557946;120.7124203;122.7305;1.339178194;1.571485088;1.085684693;1.328222238;1.400533582;1.400537834;1.085196975;1.482876059;1.49006906;1.510848461;1.33792649;1.469962482;1.26899773;4.738410346;177.5668421;179.2016353;101.1837851;138.8012525;18.36736317;3.2207;5.8768;3.2055;-0.39041;-0.28923;-0.29654;-0.28322;7.811;2;2;6.353;2;9.266;4.744;-0.013;-0.03216;0.00688;-0.02221;156.376;1.84411735;2.58761616;2.692671542;2.58761339;2.752921775;2.401915888;2.552628846;116.5994;33.2137;47.3923;47.3926;160.6789;70.6606;34.3838;37.1729;23.6482;1.5;1.25;1.39;92.648;21.171;37.436;40.021;16.611245;13.736565;14.964467;0.78283;0.43034;3.65774;1.76068;0.17747;0.08372;0.52514;0.21789;0.16116;0.07797;0.45922;0.19726;18.154052;18.571625;19.441712;1780.348;1740.26;217.8748;25.49;56.985201;37.46581;45.244387;350.86;146.26;222.43;226.89;4.8547;1.49;-0.44972;1.18512;-0.1172;0.14578;-0.42352;-0.2037;-0.2037;-0.52631;-0.44274;0.04902;-0.03773;-0.51163;0.57132;15.573398;19.41175;51.150329;177.28
5;real5;92;361.5;168.12;222.94;1.8;1;1;1.7;1;1.731;1.504;3.149;1;1;3.151;1;4.558;3.275;120.9633334;120.9628307;116.2565149;116.2934498;121.4717413;122.2267096;126.570416;118.0738359;116.6459855;120.6592722;122.6942723;1.339178194;1.571485088;1.085760873;1.328222238;1.400533582;1.400537834;1.085257086;1.482876059;1.491668123;1.510807589;1.337792173;1.469962482;1.26899773;4.738410346;177.716302;179.0480787;101.1837851;138.8012525;18.36736317;3.2207;5.8768;1.8507;-0.39041;-0.28923;-0.29654;-0.26915;7.811;2;2;6.353;2;7.076;4.745;-0.013;-0.03216;0.00688;0.01173;156.376;1.844067771;2.58761616;2.689386468;2.58761339;2.755448656;2.401915888;2.555192389;116.5994;33.2137;47.3923;47.3926;160.8221;72.5328;34.3838;36.3975;23.6482;1.5;1.25;1.34;92.648;21.171;37.436;27.099;16.611245;13.736565;14.552994;0.78283;0.43034;3.65774;1.43351;0.17747;0.08372;0.52514;0.38533;0.16116;0.07797;0.45922;0.31198;18.154052;18.352637;19.441712;1780.348;1744.12;217.8748;13.7795;56.985201;37.46581;41.786449;350.86;146.26;201.46;226.89;4.8547;1.49;-0.44972;1.18512;-0.1172;0.14578;-0.42352;-0.2037;-0.2037;-0.52529;-0.45406;0.04902;-0.03181;-0.51163;0.57132;15.573398;19.41175;51.150329;177.28
6;real6;60;361.5;168.12;198.45;1.8;1;1;1.7;1;1.7;1.504;3.149;1;1;3.151;1;3.714;3.274;120.9633334;120.9628307;116.2565149;116.5706939;121.2579595;122.1647199;126.570416;118.0738359;117.4021722;119.4973884;123.0581901;1.339178194;1.571485088;1.086174655;1.328222238;1.400533582;1.400537834;1.085388469;1.482876059;1.490183416;1.513097292;1.337219164;1.469962482;1.26899773;4.738410346;178.8574627;177.3989151;101.1837851;138.8012525;18.36736317;3.2207;5.8768;2.8211;-0.39041;-0.28923;-0.29654;-0.28195;7.811;2;2;6.353;2;6.381;4.744;-0.013;-0.03216;0.00688;0.01116;156.376;1.847298188;2.58761616;2.661095976;2.58761339;2.762591203;2.401915888;2.566236904;116.5994;33.2137;47.3923;47.3926;159.3905;69.442;34.3838;36.9834;23.6482;1.5;1.25;1.29;92.648;21.171;37.436;20.111;16.611245;13.736565;14.086181;0.78283;0.43034;3.65774;1.86878;0.17747;0.08372;0.52514;0.52596;0.16116;0.07797;0.45922;0.44599;18.154052;18.247823;19.441712;1780.348;1740.4;217.8748;38.8904;56.985201;37.46581;40.706679;350.86;146.26;179.11;226.89;4.8547;1.49;-0.44972;1.18512;-0.1172;0.14578;-0.42352;-0.2037;-0.2037;-0.52574;-0.44861;0.04902;-0.03644;-0.51163;0.57132;15.573398;19.41175;51.150329;177.28
7;real7;83;361.5;168.12;217.83;1.8;1;1;1.7;1;1.7;1.504;3.149;1;1;3.151;1;3.556;3.276;120.9633334;120.9628307;116.2565149;116.2179571;121.664523;122.110892;126.570416;118.0738359;116.515391;121.0778427;122.4067627;1.339178194;1.571485088;1.085717426;1.328222238;1.400533582;1.400537834;1.085046919;1.482876059;1.491238235;1.512015801;1.338154284;1.469962482;1.26899773;4.738410346;177.6136784;178.6083796;101.1837851;138.8012525;18.36736317;3.2207;5.8768;1.6035;-0.39041;-0.28923;-0.29654;-0.25462;7.811;2;2;6.353;2;7.479;4.744;-0.013;-0.03216;0.00688;0.01355;156.376;1.84309724;2.58761616;2.701427683;2.58761339;2.748727107;2.401915888;2.55405938;116.5994;33.2137;47.3923;47.3926;160.4316;74.7131;34.3838;36.9985;23.6482;1.5;1.25;1.32;92.648;21.171;37.436;36.422;16.611245;13.736565;14.567303;0.78283;0.43034;3.65774;2.08224;0.17747;0.08372;0.52514;0.29814;0.16116;0.07797;0.45922;0.26977;18.154052;18.465981;19.441712;1780.348;1738.11;217.8748;27.42;56.985201;37.46581;41.932515;350.86;146.26;199.21;226.89;4.8547;1.49;-0.44972;1.18512;-0.1172;0.14578;-0.42352;-0.2037;-0.2037;-0.52622;-0.46085;0.04902;-0.02985;-0.51163;0.57132;15.573398;19.41175;51.150329;177.28
8;real8;92;361.5;168.12;238.21;1.8;1;1;1.7;1;1.789;1.504;3.149;1;1;3.151;1;4.528;3.274;120.9633334;120.9628307;116.2565149;116.3570477;121.5179143;122.1183298;126.570416;118.0738359;116.3131317;120.9054105;122.7814453;1.339178194;1.571485088;1.086012441;1.328222238;1.400533582;1.400537834;1.085080445;1.482876059;1.489757992;1.510750845;1.337892869;1.469962482;1.26899773;4.738410346;177.6764695;178.6108645;101.1837851;138.8012525;18.36736317;3.2207;5.8768;3.4642;-0.39041;-0.28923;-0.29654;-0.26345;7.811;2;2;6.353;2;8.448;4.745;-0.013;-0.03216;0.00688;0.01332;156.376;1.844767085;2.58761616;2.694322894;2.58761339;2.755356123;2.401915888;2.548935257;116.5994;33.2137;47.3923;47.3926;161.0212;73.9935;34.3838;37.5716;23.6482;1.5;1.25;1.37;92.648;21.171;37.436;26.669;16.611245;13.736565;14.987234;0.78283;0.43034;3.65774;1.2109;0.17747;0.08372;0.52514;0.2661;0.16116;0.07797;0.45922;0.2244;18.154052;18.614431;19.441712;1780.348;1738.16;217.8748;32.2014;56.985201;37.46581;44.325974;350.86;146.26;215.05;226.89;4.8547;1.49;-0.44972;1.18512;-0.1172;0.14578;-0.42352;-0.2037;-0.2037;-0.52495;-0.45932;0.04902;-0.03033;-0.51163;0.57132;15.573398;19.41175;51.150329;177.28
9;real9;90;361.5;168.12;251.17;1.8;1;1;1.7;1;2.469;1.504;3.149;1;1;3.151;1;3.213;3.278;120.9633334;120.9628307;116.2565149;116.2957283;121.3928304;122.3015602;126.570416;118.0738359;116.5644404;120.8292793;122.6061158;1.339178194;1.571485088;1.085975014;1.328222238;1.400533582;1.400537834;1.085234074;1.482876059;1.490501803;1.51124989;1.338331509;1.469962482;1.26899773;4.738410346;177.41982;178.7585958;101.1837851;138.8012525;18.36736317;3.2207;5.8768;1.3936;-0.39041;-0.28923;-0.29654;-0.26892;7.811;2;2;6.353;2;8.474;4.745;-0.013;-0.03216;0.00688;0.01346;156.376;1.844252923;2.58761616;2.691506809;2.58761339;2.755795811;2.401915888;2.553457392;116.5994;33.2137;47.3923;47.3926;160.6755;73.8425;34.3838;36.2128;23.6482;1.5;1.25;1.39;92.648;21.171;37.436;20.117;16.611245;13.736565;14.723791;0.78283;0.43034;3.65774;1.95799;0.17747;0.08372;0.52514;0.2578;0.16116;0.07797;0.45922;0.24262;18.154052;18.450732;19.441712;1780.348;1738.47;217.8748;33.5787;56.985201;37.46581;44.528089;350.86;146.26;229.05;226.89;4.8547;1.49;-0.44972;1.18512;-0.1172;0.14578;-0.42352;-0.2037;-0.2037;-0.52529;-0.45998;0.04902;-0.03078;-0.51163;0.57132;15.573398;19.41175;51.150329;177.28
